Lead_Origin,Lead_Source,Do_Not_Email,Converted,TotalVisits,Total_Time_Spent_on_Website,Page_Views_Per_Visit,Specialization,What_is_your_current_occupation,Tags,City,A_free_copy_of_Mastering_The_Interview,Last_Notable_Activity
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Organic_Search,No,0,5,674,2.5,Not_Specified,Unemployed,Ringing,Mumbai,No,
Landing_Page_Submission,Direct_Traffic,No,1,2,1532,2,Business_Administration,Student,Will_revert_after_reading_the_email,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,0,1,305,1,Media_and_Advertising,Unemployed,Ringing,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,2,1428,1,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,2,1640,2,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,0,2,71,2,Management_Specializations,Unemployed,Not_Specified,Thane_and_Outskirts,Yes,Email_Opened
API,Google,No,0,4,58,4,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,No,1,8,1351,8,Travel_and_Tourism,Unemployed,Will_revert_after_reading_the_email,Other_Metro_Cities,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,1,8,1343,2.67,Management_Specializations,Unemployed,Lost_to_EINS,Thane_and_Outskirts,Yes,Page_Visited_on_Website
API,Organic_Search,No,1,11,1538,11,Management_Specializations,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,0,5,170,5,Business_Administration,Unemployed,Ringing,Thane_and_Outskirts,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,Yes,0,1,481,1,Business_Administration,Unemployed,Not_Specified,Mumbai,No,Other_Notable_activity
API,Organic_Search,No,1,6,1012,6,Not_Specified,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Email_Opened
API,Olark_Chat,No,0,0,0,0,Not_Specified,Unemployed,Not_Specified,Mumbai,No,Modified
API,Referral_Sites,No,0,6,973,6,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,6,1688,3,Management_Specializations,Unemployed,Not_Specified,Mumbai,No,Page_Visited_on_Website
API,Organic_Search,No,0,3,98,3,Not_Specified,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,1,233,1,Media_and_Advertising,Unemployed,Interested_in_other_courses,Mumbai,No,Modified
API,Google,No,0,4,377,1.33,Not_Specified,Unemployed,Other_Tags,Mumbai,No,Modified
Landing_Page_Submission,Google,No,1,1,1013,1,Banking_Investment_And_Insurance,Unemployed,Will_revert_after_reading_the_email,Mumbai,No,Modified
Landing_Page_Submission,Google,No,0,4,771,4,Management_Specializations,Unemployed,Ringing,Mumbai,No,Email_Link_Clicked
